,有價證券代號及名稱 
0,1101
1,1102
2,1103
3,1104
4,1108
5,1109
6,1110
7,1201
8,1203
9,1210
10,1213
11,1215
12,1216
13,1217
14,1218
15,1219
16,1220
17,1225
18,1227
19,1229
20,1231
21,1232
22,1233
23,1234
24,1235
25,1236
26,1256
27,1301
28,1303
29,1304
30,1305
31,1307
32,1308
33,1309
34,1310
35,1312
36,1313
37,1314
38,1315
39,1316
40,1319
41,1321
42,1323
43,1324
44,1325
45,1326
46,1337
47,1338
48,1339
49,1340
50,1341
51,1342
52,1402
53,1409
54,1410
55,1413
56,1414
57,1416
58,1417
59,1418
60,1419
61,1423
62,1432
63,1434
64,1435
65,1436
66,1437
67,1438
68,1439
69,1440
70,1441
71,1442
72,1443
73,1444
74,1445
75,1446
76,1447
77,1449
78,1451
79,1452
80,1453
81,1454
82,1455
83,1456
84,1457
85,1459
86,1460
87,1463
88,1464
89,1465
90,1466
91,1467
92,1468
93,1470
94,1471
95,1472
96,1473
97,1474
98,1475
99,1476
100,1477
101,1503
102,1504
103,1506
104,1507
105,1512
106,1513
107,1514
108,1515
109,1516
110,1517
111,1519
112,1521
113,1522
114,1524
115,1525
116,1526
117,1527
118,1528
119,1529
120,1530
121,1531
122,1532
123,1533
124,1535
125,1536
126,1537
127,1538
128,1539
129,1540
130,1541
131,1558
132,1560
133,1568
134,1582
135,1583
136,1587
137,1589
138,1590
139,1592
140,1597
141,1598
142,1603
143,1604
144,1605
145,1608
146,1609
147,1611
148,1612
149,1614
150,1615
151,1616
152,1617
153,1618
154,1626
155,1701
156,1702
157,1707
158,1708
159,1709
160,1710
161,1711
162,1712
163,1713
164,1714
165,1717
166,1718
167,1720
168,1721
169,1722
170,1723
171,1724
172,1725
173,1726
174,1727
175,1730
176,1731
177,1732
178,1733
179,1734
180,1735
181,1736
182,1737
183,1760
184,1762
185,1773
186,1776
187,1783
188,1786
189,1789
190,1795
191,1802
192,1805
193,1806
194,1808
195,1809
196,1810
197,1817
198,1903
199,1904
200,1905
201,1906
202,1907
203,1909
204,2002
205,2006
206,2007
207,2008
208,2009
209,2010
210,2012
211,2013
212,2014
213,2015
214,2017
215,2020
216,2022
217,2023
