,有價證券代號及名稱 ,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
0,上市認購(售)權證,,,,,,
1,030001　萬海中信0B購01,TW21Z0300016,2021/04/07,上市,,RWSCCE,
2,030002　晶技中信0A購01,TW21Z0300024,2021/04/07,上市,,RWSCCE,
3,030003　景碩中信0B購01,TW21Z0300032,2021/04/07,上市,,RWSCCE,
4,030004　群創中信0C購01,TW21Z0300040,2021/04/07,上市,,RWSCCE,
5,030005　新唐中信0A購01,TW21Z0300057,2021/04/07,上市,,RWSCCE,
6,030006　新唐中信0B購01,TW21Z0300065,2021/04/07,上市,,RWSCCE,
7,030007　東鋼第一14購01,TW21Z0300073,2021/04/07,上市,,RWSCCA,
8,030008　長興元富0B購01,TW21Z0300081,2021/04/07,上市,,RWSCCA,
9,030009　長興元富11購01,TW21Z0300099,2021/04/07,上市,,RWSCCA,
10,030010　聯發科元富0A購09,TW21Z0300107,2021/04/07,上市,,RWSCCA,
11,030011　聯發科元富11購06,TW21Z0300115,2021/04/07,上市,,RWSCCA,
12,030012　聯發科元富11購07,TW21Z0300123,2021/04/07,上市,,RWSCCA,
13,030013　聯發科元富11購08,TW21Z0300131,2021/04/07,上市,,RWSCCA,
14,030014　玉晶光元富11購02,TW21Z0300149,2021/04/07,上市,,RWSCCA,
15,030015　聯鈞元富11購01,TW21Z0300156,2021/04/07,上市,,RWSCCA,
16,030016　松翰元富0C購01,TW21Z0300164,2021/04/07,上市,,RWSCCA,
17,030017　彩晶元富0A購01,TW21Z0300172,2021/04/07,上市,,RWSCCA,
18,030018　彩晶元富0B購01,TW21Z0300180,2021/04/07,上市,,RWSCCA,
19,030019　南帝康和0A購01,TW21Z0300198,2021/04/07,上市,,RWSCCA,
20,030020　日勝生康和0A購01,TW21Z0300206,2021/04/07,上市,,RWSCCA,
21,030021　台達電日盛0C購01,TW21Z0300214,2021/04/07,上市,,RWSCCA,
22,030022　華邦電日盛0B購01,TW21Z0300222,2021/04/07,上市,,RWSCCA,
23,030023　義隆日盛0B購01,TW21Z0300230,2021/04/07,上市,,RWSCCA,
24,030024　群創日盛0B購01,TW21Z0300248,2021/04/07,上市,,RWSCCA,
25,030025　台灣50台新0A購01,TW21Z0300255,2021/04/07,上市,,RWBCCE,
26,030026　上銀統一0C購01,TW21Z0300263,2021/04/07,上市,,RWSCCA,
27,030027　晶技統一0C購01,TW21Z0300271,2021/04/07,上市,,RWSCCA,
28,030028　聯鈞統一0B購01,TW21Z0300289,2021/04/07,上市,,RWSCCA,
29,030029　新唐統一0C購01,TW21Z0300297,2021/04/07,上市,,RWSCCA,
30,030030　立積統一13購01,TW21Z0300305,2021/04/07,上市,,RWSCCA,
31,030031　松翰統一0B購02,TW21Z0300313,2021/04/07,上市,,RWSCCA,
32,030032　巨大統一0C購01,TW21Z0300321,2021/04/07,上市,,RWSCCA,
33,030033　滬深2X元大0B購02,TW21Z0300339,2021/04/07,上市,,RWBCCA,
34,030034　國喬元大0C購01,TW21Z0300347,2021/04/07,上市,,RWSCCA,
35,030035　力麗元大0A購01,TW21Z0300354,2021/04/07,上市,,RWSCCA,
36,030036　力麗元大0B購01,TW21Z0300362,2021/04/07,上市,,RWSCCA,
37,030037　岱宇元大0A購01,TW21Z0300370,2021/04/07,上市,,RWSCCA,
38,030038　長興元大11購01,TW21Z0300388,2021/04/07,上市,,RWSCCA,
39,030039　長興元大12購01,TW21Z0300396,2021/04/07,上市,,RWSCCA,
40,030040　光寶科元大0A購01,TW21Z0300404,2021/04/07,上市,,RWSCCA,
41,030041　仁寶元大0B購01,TW21Z0300412,2021/04/07,上市,,RWSCCA,
42,030042　台積電元大0A購05,TW21Z0300420,2021/04/07,上市,,RWSCCA,
43,030043　台積電元大0A購06,TW21Z0300438,2021/04/07,上市,,RWSCCA,
44,030044　英業達元大0A購02,TW21Z0300446,2021/04/07,上市,,RWSCCA,
45,030045　瑞昱元大0A購01,TW21Z0300453,2021/04/07,上市,,RWSCCA,
46,030046　興富發元大12購01,TW21Z0300461,2021/04/07,上市,,RWSCCA,
47,030047　長榮元大0A購04,TW21Z0300479,2021/04/07,上市,,RWSCCA,
48,030048　長榮元大0A購05,TW21Z0300487,2021/04/07,上市,,RWSCCA,
49,030049　長榮元大0A購06,TW21Z0300495,2021/04/07,上市,,RWSCCA,
50,030050　萬海元大0C購02,TW21Z0300503,2021/04/07,上市,,RWSCCA,
51,030051　景碩元大0A購03,TW21Z0300511,2021/04/07,上市,,RWSCCA,
52,030052　玉晶光元大0A購03,TW21Z0300529,2021/04/07,上市,,RWSCCA,
53,030053　群創元大0A購04,TW21Z0300537,2021/04/07,上市,,RWSCCA,
54,030054　群創元大0A購05,TW21Z0300545,2021/04/07,上市,,RWSCCA,
55,030055　台勝科元大11購01,TW21Z0300552,2021/04/07,上市,,RWSCCA,
56,030056　台勝科元大12購01,TW21Z0300560,2021/04/07,上市,,RWSCCA,
57,030057　立積元大0A購04,TW21Z0300578,2021/04/07,上市,,RWSCCA,
58,030058　瀚宇博元大0B購01,TW21Z0300586,2021/04/07,上市,,RWSCCA,
59,030059　松翰元大0B購02,TW21Z0300594,2021/04/07,上市,,RWSCCA,
60,03005X　元展05,TW14Z03005X9,2014/07/31,上市,,RWSCCE,
61,030060　彩晶元大0A購04,TW21Z0300602,2021/04/07,上市,,RWSCCA,
62,030061　彩晶元大0A購05,TW21Z0300610,2021/04/07,上市,,RWSCCA,
63,030062　南茂元大0B購01,TW21Z0300628,2021/04/07,上市,,RWSCCA,
64,030063　A50正2群益0A購01,TW21Z0300636,2021/04/07,上市,,RWBCCA,
65,030064　元金2X群益11購01,TW21Z0300644,2021/04/07,上市,,RWBCCA,
66,030065　道瓊銀群益0A購01,TW21Z0300651,2021/04/07,上市,,RWBCCA,
67,030066　華夏群益0B購01,TW21Z0300669,2021/04/07,上市,,RWSCCA,
68,030067　岱宇群益0B購01,TW21Z0300677,2021/04/07,上市,,RWSCCA,
69,030068　長興群益11購01,TW21Z0300685,2021/04/07,上市,,RWSCCA,
70,030069　南帝群益0C購01,TW21Z0300693,2021/04/07,上市,,RWSCCA,
71,03006X　元展06,TW14Z03006X7,2014/07/31,上市,,RWSCCE,
72,030070　台達電群益0A購01,TW21Z0300701,2021/04/07,上市,,RWSCCA,
73,030071　鴻海群益0C購05,TW21Z0300719,2021/04/07,上市,,RWSCCA,
74,030072　國巨群益0A購01,TW21Z0300727,2021/04/07,上市,,RWSCCA,
75,030073　台積電群益0A購12,TW21Z0300735,2021/04/07,上市,,RWSCCA,
76,030074　聯發科群益0C購06,TW21Z0300743,2021/04/07,上市,,RWSCCA,
77,030075　興富發群益11購01,TW21Z0300750,2021/04/07,上市,,RWSCCA,
78,030076　富邦金群益0C購01,TW21Z0300768,2021/04/07,上市,,RWSCCA,
79,030077　國泰金群益0A購01,TW21Z0300776,2021/04/07,上市,,RWSCCA,
80,030078　嘉晶群益0A購01,TW21Z0300784,2021/04/07,上市,,RWSCCA,
81,030079　景碩群益0B購02,TW21Z0300792,2021/04/07,上市,,RWSCCA,
82,03007X　元展07,TW14Z03007X5,2014/07/31,上市,,RWSCCE,
83,030080　台勝科群益11購01,TW21Z0300800,2021/04/07,上市,,RWSCCA,
84,030081　拓凱群益0C購01,TW21Z0300818,2021/04/07,上市,,RWSCCA,
